gal0_emosaics,,gal1_emosaics,,gal2_emosaics,,gal3_emosaics,,gal4_emosaics,,gal5_emosaics,,gal6_emosaics,,gal7_emosaics,,gal8_emosaics,,gal9_emosaics,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
5.480397464331252,231.4310037796053,5.52824422117614,445.8628631901856,5.486721000491812,774.6668670539706,5.515740619116471,448.1883018851652,5.520399316957839,217.25093998665594,5.567251461988304,797.7479400315652,5.412913651373568,393.1950156329497,5.383018337665989,175.36020590221167,5.44680590218486,68.76312524407034,5.424305397900913,226.67906326207103
5.583500689799704,162.70813859045688,5.666514438277243,313.0026503787862,5.642274994730553,531.0962949917911,5.653610052979602,314.635144436744,5.675502430053861,147.1011703904678,5.7237151287079735,556.4190939162602,5.533900091337033,267.84148417231467,5.521288554767095,125.79469957705308,5.58467533604799,48.58802363245269,5.561776365192184,157.7710689566494
5.686603915268157,109.87778568426002,5.804784655378347,213.21504875225222,5.7805452118316545,369.6487402671896,5.774245807609841,229.35068409930346,5.813371863916991,101.72422852417579,5.8454090917121615,408.00869917271206,5.6376027541628595,182.90998809767584,5.624991217592923,77.59200136654344,5.722544769911121,34.07407123592187,5.699247332483452,109.81036290478141
5.78970714073661,74.20113026592205,5.925771095341812,148.93099436862607,5.901531651795118,250.88560403744646,5.877647883007189,159.80027980597046,5.934007618547227,63.46778726454528,5.949718202858607,281.7471574363178,5.741305416988688,122.42752875914236,5.711410103281112,50.8396133786523,5.825946845308465,25.383382461890164,5.819534428863314,76.8148479173932
5.8928103662050635,51.644785677941215,6.029473758167638,105.87184991375233,6.005234314620946,171.13866618750203,5.981049958404537,105.89128991086704,6.037409693944575,40.809303745540824,6.054027314005054,190.7028737129223,5.87957563408979,83.27124893988868,5.846223564954686,32.91102358324869,5.89488156224003,16.631628619923656,5.905453783420359,50.83961337865251
5.995913591673516,35.945326953401285,6.1331764209934665,74.51041042760765,6.108936977446774,115.57097173222392,6.084452033801885,68.77411730016001,6.140811769341923,26.772130301361326,6.1583364251515,131.68835049962695,6.069697182603807,62.179809527278394,5.970666760345678,30.196922191793547,5.963816279171596,10.5731581234955,5.9741892670659915,36.469812855645344
6.099016817141969,24.519682323265492,6.219595306681656,49.12699269819561,6.195355863134964,81.66244750830394,6.1878541091992325,45.11788883244989,6.244213844739271,17.042362530036925,6.262645536297946,90.93634154364304,6.207967399704909,43.323833978357875,6.126220754584422,29.520667781694268,6.032750996103157,6.721631131813505,6.042924750711627,25.383382461890164
6.184936171699013,16.895032012807103,6.288730415232207,31.747204301342844,6.264490971685515,57.70268461961108,6.29125618459658,30.811181228470335,6.347615920136619,11.068648240088388,6.366954647444392,64.06488108798361,6.294386285393099,29.143923875539485,6.166549567905575,17.31497602073143,6.101685713034723,4.209077824122254,6.1116602343572595,17.402345386394646
6.253671655344648,11.06991546066018,6.35786552378276,21.463774994900017,6.3336260802360655,41.39303919705225,6.394658259993928,21.467716134346524,6.433784316301072,7.868464654994759,6.488648610448579,42.71676930621816,6.380805171081288,20.10326330602979,6.160788308859695,11.231438948975526,6.239555146897853,2.929563489795019,6.151755933150547,10.897329028798977
6.322407138990283,7.475580564478514,6.427000632333311,13.870477560621604,6.4027611887866165,29.248321096325565,6.480826656158385,15.032901740470017,6.502719033232637,5.482359289441373,6.627727425310508,28.48241265686073,6.449940279631841,14.006965420367857,6.160788308859695,7.817202450905493,6.429125618459654,2.816780313073486,6.146027976180079,6.927714992819393
